Year,uba_km2,uba_km2_exposed,growth_pct,percent_uba_exposed,type
2012,260.195020691988,5.050764745433228,1.73%,1.94%,Coastal
2013,262.22045799120895,5.168053912235742,2.32%,1.97%,Coastal
2014,264.1425342121851,5.225232381051967,1.11%,1.98%,Coastal
2015,265.6453016618423,5.311733141568821,1.66%,2.00%,Coastal
1985,151.35873752947336,32.76106345981951,NA,21.64%,Combined
1986,158.84105331418118,34.641355415122305,5.74%,21.81%,Combined
1987,167.71764406925388,36.74669595922742,6.08%,21.91%,Combined
1988,176.01365344865414,38.72814982089738,5.39%,22.00%,Combined
1989,181.73076727298417,39.97801250463666,3.23%,22.00%,Combined
1990,186.90835093002255,41.01895386000896,2.60%,21.95%,Combined
1991,192.48325163960453,42.41176271578881,3.40%,22.03%,Combined
1992,197.6798947862484,43.57512463901124,2.74%,22.04%,Combined
1993,202.2248499998458,44.71063038511807,2.61%,22.11%,Combined
1994,206.7720043853207,46.004476506408295,2.89%,22.25%,Combined
1995,210.3566545457225,46.92373035122299,2.00%,22.31%,Combined
1996,213.9391055342468,48.01525265977888,2.33%,22.44%,Combined
1997,216.92704705854084,49.01514280677031,2.08%,22.60%,Combined
1998,219.95530673392324,50.03116021419708,2.07%,22.75%,Combined
1999,223.40434129520963,51.17326347593655,2.28%,22.91%,Combined
2000,226.19289123593936,52.02727522171735,1.67%,23.00%,Combined
2001,230.37278391786396,53.43621133793255,2.71%,23.20%,Combined
2002,234.84736563137983,54.78357064157642,2.52%,23.33%,Combined
2003,238.48259674496524,55.887554924105075,2.02%,23.43%,Combined
2004,240.94273701864796,56.53850979985902,1.16%,23.47%,Combined
2005,243.2591980629976,57.14034983701442,1.06%,23.49%,Combined
2006,245.565396305252,57.87780547328522,1.29%,23.57%,Combined
2007,248.47856598570945,58.7215544169708,1.46%,23.63%,Combined
2008,251.68056023941807,59.591693423186946,1.48%,23.68%,Combined
2009,254.37601190399832,60.43690848145756,1.42%,23.76%,Combined
2010,256.64189199516437,61.1435757114427,1.17%,23.82%,Combined
2011,258.3469832575559,61.66038110266628,0.85%,23.87%,Combined
2012,260.195020691988,62.301073176325005,1.04%,23.94%,Combined
2013,262.22045799120895,62.89631569784776,0.96%,23.99%,Combined
2014,264.1425342121851,63.53700777150649,1.02%,24.05%,Combined
2015,265.6453016618423,63.918197563614655,0.60%,24.06%,Combined
