,0
836,289.4
837,80.7
838,69.9
839,194.2
840,13.0
841,286.6
842,181.2
843,7.6
844,106.8
845,187.4
846,1.2
847,94.0
848,10.1
849,193.4
850,200.6
851,20.7
852,118.7
853,117.7
854,186.4
855,19.3
856,173.9
857,170.6
858,234.3
859,139.4
860,217.1
861,177.9
862,78.0
863,8.9
864,276.4
865,344.1
866,3.9
867,43.3
868,45.0
869,236.3
870,75.9
871,87.7
872,101.7
873,150.3
874,77.1
875,113.9
876,268.4
877,161.5
878,95.3
879,323.8
880,247.6
881,163.7
882,266.9
883,266.7
884,229.7
885,142.7
886,216.3
887,153.6
888,331.6
889,242.2
890,137.8
891,355.9
892,186.3
893,117.5
894,199.6
895,299.6
896,121.0
897,239.7
898,63.2
899,221.1
900,36.3
901,154.4
902,247.7
903,351.5
904,71.8
905,9.7
906,259.2
907,11.0
908,343.0
909,240.0
910,353.9
911,15.7
912,301.5
913,4.3
914,161.1
915,165.8
916,160.7
917,257.3
918,204.9
919,319.3
920,338.6
921,108.4
922,82.0
923,258.9
924,346.7
925,329.7
926,63.3
927,314.3
928,42.8
929,268.6
930,162.0
931,266.8
932,78.9
933,249.9
934,166.6
935,170.9
936,230.4
937,239.0
938,238.1
939,84.8
940,264.4
941,256.6
942,48.0
943,320.2
944,230.5
945,326.7
946,72.2
947,252.4
948,339.3
949,157.6
950,50.6
951,161.0
952,339.0
953,228.7
954,340.5
955,40.0
956,159.0
957,337.7
958,158.1
959,219.6
960,157.7
961,59.6
962,332.1
963,323.8
964,152.1
965,60.6
966,216.9
967,71.2
968,338.2
969,156.8
970,248.3
971,146.8
972,74.8
973,327.3
974,125.2
975,218.0
976,164.5
977,93.5
978,91.7
979,277.6
980,149.3
981,69.1
982,191.5
983,38.0
984,97.6
985,321.5
986,157.6
987,333.6
988,341.1
989,273.5
990,260.3
991,161.1
992,353.3
993,276.6
994,83.1
995,276.6
996,256.1
997,155.2
998,80.3
999,53.1
1000,278.6
1001,332.8
